                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4431,                 2.1031,                 1.4612,                0.40812,                0.56888,                0.44989,                0.23262,                 1.6174,                 1.9834,                 1.7344,             0.00041503,             0.00041503,             0.00041503
                      2,                 1.4272,                 1.6769,                 1.4461,                0.60563,                0.48781,                0.44347,                0.21764,                 1.7035,                 2.0827,                 1.6855,             0.00082346,             0.00082346,             0.00082346
                      3,                 1.4432,                 1.5968,                 1.4654,                0.44483,                0.57476,                0.49981,                0.24786,                 1.5217,                 1.6452,                 1.5834,              0.0012236,              0.0012236,              0.0012236
                      4,                  1.416,                 1.4895,                 1.4491,                0.56402,                0.56857,                 0.5778,                0.31473,                 1.5318,                 1.5013,                 1.6215,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.394,                 1.4377,                 1.4293,                0.62114,                0.57872,                0.61804,                0.33649,                 1.5454,                 1.4271,                 1.5702,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.3686,                 1.3675,                 1.4172,                 0.5772,                0.59763,                0.59965,                0.34311,                 1.4863,                  1.437,                  1.573,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.3484,                 1.3282,                 1.3978,                  0.682,                0.66238,                0.71028,                0.41009,                 1.4776,                 1.2182,                 1.5889,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.3252,                 1.2619,                 1.3911,                 0.6475,                0.69562,                0.72538,                0.42148,                  1.429,                 1.1524,                 1.5215,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.3147,                 1.2385,                 1.3771,                0.79415,                0.70146,                0.76147,                0.46518,                 1.3579,                 1.1313,                 1.4624,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.2855,                 1.1834,                 1.3549,                0.74788,                0.73881,                 0.7878,                0.45865,                 1.5074,                 1.0407,                 1.5716,               0.001151,               0.001151,               0.001151
                     11,                  1.279,                 1.1557,                 1.3502,                0.76093,                0.68777,                0.76137,                0.45741,                 1.3974,                 1.0357,                 1.5353,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.2706,                 1.1352,                 1.3416,                0.75951,                 0.7161,                0.78866,                 0.4473,                 1.5582,                 1.0339,                 1.5425,              0.0011263,              0.0011263,              0.0011263
                     13,                  1.259,                 1.1042,                 1.3308,                0.72495,                0.72637,                0.79218,                0.48799,                 1.4054,                 1.0042,                  1.526,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2416,                 1.0882,                  1.322,                0.72353,                0.72848,                0.80484,                0.49875,                 1.3267,                 1.0517,                 1.4492,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.2452,                 1.0722,                 1.3222,                0.80368,                0.76195,                0.84113,                0.49349,                  1.475,                 0.9421,                 1.4644,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.2165,                 1.0413,                 1.3123,                0.80234,                0.76524,                 0.8456,                0.53181,                 1.3357,                0.89893,                 1.4049,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.2029,                 1.0137,                 1.2976,                0.82814,                0.76653,                  0.846,                0.54163,                 1.3421,                0.92012,                  1.397,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.2153,                 1.0112,                  1.305,                0.84774,                0.80332,                0.88846,                0.55788,                 1.3384,                0.86759,                 1.3937,               0.001052,               0.001052,               0.001052
                     19,                 1.2052,                0.99675,                 1.3019,                0.83069,                0.82192,                0.88399,                0.56463,                 1.3052,                0.82891,                 1.4198,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.1864,                0.96322,                 1.2858,                0.84303,                0.81418,                 0.8867,                0.54483,                 1.4282,                0.82278,                 1.4638,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.1839,                0.95338,                 1.2808,                0.86237,                0.80944,                0.89195,                 0.5776,                 1.2606,                0.79952,                 1.3898,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.1632,                0.94067,                 1.2746,                0.83948,                0.84767,                0.89907,                0.56602,                 1.3757,                0.78659,                 1.3909,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1515,                0.91004,                 1.2646,                0.89656,                0.82555,                0.90567,                0.59708,                 1.2695,                0.78886,                 1.3931,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.1545,                0.91614,                 1.2752,                 0.8582,                0.83544,                0.87598,                0.52783,                 1.4483,                0.87477,                  1.448,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.1483,                0.89776,                 1.2557,                0.91845,                0.84569,                0.92485,                0.57885,                 1.3693,                0.75402,                 1.3945,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.1446,                0.89079,                 1.2536,                0.88815,                0.86135,                0.91912,                 0.6061,                  1.264,                0.73006,                 1.3674,               0.000953,               0.000953,               0.000953
                     27,                 1.1225,                0.86533,                 1.2446,                0.89833,                0.88748,                0.93138,                0.60133,                 1.3178,                0.71421,                 1.3584,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.1175,                 0.8595,                 1.2397,                0.90115,                0.87178,                0.92491,                0.59028,                 1.3217,                0.73658,                 1.3621,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.1095,                0.84775,                  1.232,                0.85824,                0.80665,                0.88984,                 0.6175,                 1.1955,                0.75089,                 1.3485,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.1101,                0.84349,                 1.2357,                0.89484,                0.85681,                0.91772,                0.64268,                 1.1788,                0.72288,                 1.3077,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.0994,                0.81999,                 1.2241,                0.91008,                0.84597,                0.92337,                0.64354,                 1.2099,                 0.7058,                 1.3119,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.0907,                0.81748,                 1.2233,                0.92461,                0.86146,                0.92666,                0.58851,                  1.353,                0.69555,                 1.3696,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.0895,                0.81932,                 1.2224,                0.90316,                0.86815,                0.93284,                0.63228,                 1.2024,                0.70067,                 1.2986,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.0678,                0.79414,                 1.2121,                0.94696,                0.88321,                0.94436,                0.61552,                 1.3281,                0.67816,                 1.3607,               0.000854,               0.000854,               0.000854
                     35,                 1.0763,                 0.7999,                 1.2169,                 0.9211,                0.88901,                0.94365,                0.64194,                 1.1942,                0.67002,                 1.2941,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0651,                   0.79,                 1.2101,                0.91551,                0.89336,                0.94185,                  0.665,                 1.1393,                0.66099,                 1.2778,             0.00082925,             0.00082925,             0.00082925
